title,authers,url,entry_id,pdf_url,summary,summary_ja
Pseudo Label Refinery for Unsupervised Domain Adaptation on Cross-dataset 3D Object Detection,Zhanwei Zhang · Minghao Chen · Shuai Xiao · Liang Peng · Hengjia Li · Binbin Lin · Ping Li · Wenxiao Wang · Boxi Wu · Deng Cai,,http://arxiv.org/abs/2404.19384v1,http://arxiv.org/pdf/2404.19384v1,"Recent self-training techniques have shown notable improvements in unsupervised domain adaptation for 3D object detection (3D UDA). These techniques typically select pseudo labels, i.e., 3D boxes, to supervise models for the target domain. However, this selection process inevitably introduces unreliable 3D boxes, in which 3D points cannot be definitively assigned as foreground or background. Previous techniques mitigate this by reweighting these boxes as pseudo labels, but these boxes can still poison the training process. To resolve this problem, in this paper, we propose a novel pseudo label refinery framework. Specifically, in the selection process, to improve the reliability of pseudo boxes, we propose a complementary augmentation strategy. This strategy involves either removing all points within an unreliable box or replacing it with a high-confidence box. Moreover, the point numbers of instances in high-beam datasets are considerably higher than those in low-beam datasets, also degrading the quality of pseudo labels during the training process. We alleviate this issue by generating additional proposals and aligning RoI features across different domains. Experimental results demonstrate that our method effectively enhances the quality of pseudo labels and consistently surpasses the state-of-the-art methods on six autonomous driving benchmarks. Code will be available at https://github.com/Zhanwei-Z/PERE.",最近の独学技術は、3Dオブジェクト検出（3D UDA）のための教師なしドメイン適応において著しい改善を示しています。これらの技術は通常、擬似ラベル（すなわち、3Dボックス）を選択して、ターゲットドメインのモデルを監督します。ただし、この選択プロセスによって必然的に信頼性のない3Dボックスが導入され、3Dポイントを明確に前景または背景として割り当てられない場合があります。以前の技術では、これらのボックスを擬似ラベルとして再重み付けすることで、これを緩和していましたが、これらのボックスはトレーニングプロセスに有害な要因となる可能性があります。この問題を解決するために、本論文では、新しい擬似ラベルリファイナリーフレームワークを提案します。具体的には、信頼性の高い擬似ボックスを改善するために、選択プロセスにおいて、補完的な強化戦略を提案します。この戦略では、信頼性の低いボックス内のすべてのポイントを削除するか、高信頼ボックスで置き換えます。さらに、高ビームデータセット内のインスタンスのポイント数は、低ビームデータセット内のそれよりもかなり大きく、トレーニングプロセス中の擬似ラベルの品質も低下します。この問題を解決するために、追加提案を生成し、異なるドメイン間でRoI特徴を整列させます。実験結果は、当社の手法が擬似ラベルの品質を効果的に向上させ、自動運転ベンチマークの6つで常に最新技術を上回ることを示しています。コードは https://github.com/Zhanwei-Z/PERE で入手できます。
RCBEVDet: Radar-camera Fusion in Bird’s Eye View for 3D Object Detection,Zhiwei Lin · Zhe Liu · Zhongyu Xia · Xinhao Wang · Yongtao Wang · Shengxiang Qi · Yang Dong · Nan Dong · Le Zhang · Ce Zhu,,,,,
$MonoDiff$: Monocular 3D Object Detection and Pose Estimation with Diffusion Models,Yasiru Ranasinghe · Deepti Hegde · Vishal M. Patel,,,,,
IS-Fusion: Instance-Scene Collaborative Fusion for Multimodal 3D Object Detection,Junbo Yin · Wenguan Wang · Runnan Chen · Wei Li · Ruigang Yang · Pascal Frossard · Jianbing Shen,,http://arxiv.org/abs/2403.15241v1,http://arxiv.org/pdf/2403.15241v1,"Bird's eye view (BEV) representation has emerged as a dominant solution for describing 3D space in autonomous driving scenarios. However, objects in the BEV representation typically exhibit small sizes, and the associated point cloud context is inherently sparse, which leads to great challenges for reliable 3D perception. In this paper, we propose IS-Fusion, an innovative multimodal fusion framework that jointly captures the Instance- and Scene-level contextual information. IS-Fusion essentially differs from existing approaches that only focus on the BEV scene-level fusion by explicitly incorporating instance-level multimodal information, thus facilitating the instance-centric tasks like 3D object detection. It comprises a Hierarchical Scene Fusion (HSF) module and an Instance-Guided Fusion (IGF) module. HSF applies Point-to-Grid and Grid-to-Region transformers to capture the multimodal scene context at different granularities. IGF mines instance candidates, explores their relationships, and aggregates the local multimodal context for each instance. These instances then serve as guidance to enhance the scene feature and yield an instance-aware BEV representation. On the challenging nuScenes benchmark, IS-Fusion outperforms all the published multimodal works to date. Code is available at: https://github.com/yinjunbo/IS-Fusion.",バードズアイビュー（BEV）表現は、自律走行シナリオにおける3D空間を記述するための主要な解決策として登場しました。しかし、BEV表現におけるオブジェクトは通常、小さなサイズを示し、関連するポイントクラウドコンテキストが本質的にまばらであるため、信頼性の高い3D認識には大きな課題が生じます。本論文では、Instance-およびSceneレベルのコンテクスト情報を共に捉える革新的なマルチモーダルフュージョンフレームワークであるIS-Fusionを提案します。IS-Fusionは、従来のBEVシーンレベルフュージョンに焦点を当てる既存のアプローチとは異なり、明示的にインスタンスレベルのマルチモーダル情報を組み込むことによって、3Dオブジェクト検出などのインスタンス中心のタスクを容易にします。それは、Hierarchical Scene Fusion（HSF）モジュールとInstance-Guided Fusion（IGF）モジュールで構成されています。HSFは、Point-to-GridとGrid-to-Regionのトランスフォーマーを適用して、異なる粒度でのマルチモーダルシーンコンテキストを捉えます。IGFは、インスタンス候補を探索し、その関係を探求し、各インスタンスのローカルなマルチモーダルコンテキストを集約します。これらのインスタンスは、シーン特徴を強化し、インスタンスに対応するBEV表現を提供するためのガイダンスとなります。挑戦的なnuScenesベンチマークでは、IS-Fusionはこれまでに公開されたすべてのマルチモーダル作品を上回っています。コードはこちらから入手できます: https://github.com/yinjunbo/IS-Fusion.
CaKDP: Category-aware Knowledge Distillation and Pruning Framework for Lightweight 3D Object Detection,Haonan Zhang · Longjun Liu · Yuqi Huang · YangZhao · Xinyu Lei · Bihan Wen,,,,,
SAFDNet: A Simple and Effective Network for Fully Sparse 3D Object Detection,Gang Zhang · Chen Junnan · Guohuan Gao · Jianmin Li · Si Liu · Xiaolin Hu,,,,,
Learning Occupancy for Monocular 3D Object Detection,Liang Peng · Junkai Xu · Haoran Cheng · Zheng Yang · Xiaopei Wu · Wei Qian · Wenxiao Wang · Boxi Wu · Deng Cai,,http://arxiv.org/abs/2305.15694v1,http://arxiv.org/pdf/2305.15694v1,"Monocular 3D detection is a challenging task due to the lack of accurate 3D information. Existing approaches typically rely on geometry constraints and dense depth estimates to facilitate the learning, but often fail to fully exploit the benefits of three-dimensional feature extraction in frustum and 3D space. In this paper, we propose \textbf{OccupancyM3D}, a method of learning occupancy for monocular 3D detection. It directly learns occupancy in frustum and 3D space, leading to more discriminative and informative 3D features and representations. Specifically, by using synchronized raw sparse LiDAR point clouds, we define the space status and generate voxel-based occupancy labels. We formulate occupancy prediction as a simple classification problem and design associated occupancy losses. Resulting occupancy estimates are employed to enhance original frustum/3D features. As a result, experiments on KITTI and Waymo open datasets demonstrate that the proposed method achieves a new state of the art and surpasses other methods by a significant margin. Codes and pre-trained models will be available at \url{https://github.com/SPengLiang/OccupancyM3D}.",モノキュラー3D検出は、正確な3D情報の欠如のために困難な課題です。既存のアプローチは、通常、ジオメトリ制約と密な深度推定に依存して学習を促進しますが、しばしばフラスタムと3D空間における立体特徴抽出の利点を十分に活かせません。本論文では、モノキュラー3D検出のための占有学習手法である\textbf{OccupancyM3D}を提案します。これにより、フラスタムと3D空間において直接占有を学習し、より識別的で情報量の豊かな3D特徴と表現を導出します。具体的には、同期した生のスパースLiDARポイントクラウドを使用して、空間の状態を定義し、ボクセルベースの占有ラベルを生成します。占有予測を単純な分類問題として定式化し、関連する占有損失を設計します。結果として導出された占有推定値は、元のフラスタム/3D特徴を強化するために使用されます。その結果、KITTIとWaymoのオープンデータセットでの実験により、提案手法が他の手法を大きく超えて最先端の成果を達成することが示されました。コードと事前学習済みモデルは、\url{https://github.com/SPengLiang/OccupancyM3D}で入手できます。
Prompt3D: Random Prompt Assisted Weakly-Supervised 3D Object Detection,Xiaohong Zhang · Huisheng Ye · Jingwen Li · Qinyu Tang · Yuanqi Li · Yanwen Guo · Jie Guo,,,,,
MonoCD: Monocular 3D Object Detection with Complementary Depths,Longfei Yan · Pei Yan · Shengzhou Xiong · Xuanyu Xiang · Yihua Tan,,http://arxiv.org/abs/2404.03181v1,http://arxiv.org/pdf/2404.03181v1,"Monocular 3D object detection has attracted widespread attention due to its potential to accurately obtain object 3D localization from a single image at a low cost. Depth estimation is an essential but challenging subtask of monocular 3D object detection due to the ill-posedness of 2D to 3D mapping. Many methods explore multiple local depth clues such as object heights and keypoints and then formulate the object depth estimation as an ensemble of multiple depth predictions to mitigate the insufficiency of single-depth information. However, the errors of existing multiple depths tend to have the same sign, which hinders them from neutralizing each other and limits the overall accuracy of combined depth. To alleviate this problem, we propose to increase the complementarity of depths with two novel designs. First, we add a new depth prediction branch named complementary depth that utilizes global and efficient depth clues from the entire image rather than the local clues to reduce the correlation of depth predictions. Second, we propose to fully exploit the geometric relations between multiple depth clues to achieve complementarity in form. Benefiting from these designs, our method achieves higher complementarity. Experiments on the KITTI benchmark demonstrate that our method achieves state-of-the-art performance without introducing extra data. In addition, complementary depth can also be a lightweight and plug-and-play module to boost multiple existing monocular 3d object detectors. Code is available at https://github.com/elvintanhust/MonoCD.",単眼3Dオブジェクト検出は、1枚の画像からオブジェクトの3D位置情報を低コストで正確に取得する可能性があるため、広範な注目を集めています。深度推定は単眼3Dオブジェクト検出の重要でありながら困難なサブタスクであり、2Dから3Dへのマッピングの不適切さに起因しています。多くの手法は、オブジェクトの高さやキーポイントなどを含む複数の局所的な深度手掛かりを探索し、単一深度情報の不十分さを緩和するために複数の深度予測をまとめたオブジェクトの深度推定として形成しています。しかし、既存の複数の深度のエラーは同じ符号を持つ傾向があり、互いを相殺することを妨げ、組み合わせた深度の総合的な精度を制限しています。この問題を緩和するために、私たちは2つの新しい設計を使用して深度の補完性を高めることを提案します。まず、画像全体からローカルな手掛かりではなく、グローバルかつ効率的な深度手掛かりを利用する補完的な深度という新しい深度予測ブランチを追加し、深度予測の相関を減少させることを提案します。次に、複数の深度手掛かり間の幾何学的関係を十分に利用して形式的補完性を達成することを提案します。これらの設計の恩恵を受けることで、当社の手法はより高い補完性を達成します。KITTIベンチマークでの実験結果は、当社の手法が追加データを導入することなく最先端の性能を達成していることを示しています。さらに、補完的な深度は、既存の単眼3Dオブジェクト検出器を強化するための軽量なプラグアンドプレイモジュールとしても利用できます。コードはhttps://github.com/elvintanhust/MonoCD で入手可能です。
BEVNeXt: Reviving Dense BEV Frameworks for 3D Object Detection,Zhenxin Li · Shiyi Lan · Jose M. Alvarez · Zuxuan Wu,,http://arxiv.org/abs/2312.01696v2,http://arxiv.org/pdf/2312.01696v2,"Recently, the rise of query-based Transformer decoders is reshaping camera-based 3D object detection. These query-based decoders are surpassing the traditional dense BEV (Bird's Eye View)-based methods. However, we argue that dense BEV frameworks remain important due to their outstanding abilities in depth estimation and object localization, depicting 3D scenes accurately and comprehensively. This paper aims to address the drawbacks of the existing dense BEV-based 3D object detectors by introducing our proposed enhanced components, including a CRF-modulated depth estimation module enforcing object-level consistencies, a long-term temporal aggregation module with extended receptive fields, and a two-stage object decoder combining perspective techniques with CRF-modulated depth embedding. These enhancements lead to a ""modernized"" dense BEV framework dubbed BEVNeXt. On the nuScenes benchmark, BEVNeXt outperforms both BEV-based and query-based frameworks under various settings, achieving a state-of-the-art result of 64.2 NDS on the nuScenes test set. Code will be available at \url{https://github.com/woxihuanjiangguo/BEVNeXt}.",最近、問い合わせベースのTransformerデコーダーの台頭が、カメラベースの3Dオブジェクト検出を再構築しています。これらの問い合わせベースのデコーダーは、従来の密なBEV（鳥瞰図）ベースの手法を凌駕しています。しかし、私たちは、密なBEVフレームワークが深度推定やオブジェクトの位置特定において優れた能力を持つため、3Dシーンを正確かつ包括的に描写する点で重要であると主張します。この論文は、既存の密なBEVベースの3Dオブジェクト検出器の欠点に対処することを目的とし、CRFモジュールでオブジェクトレベルの一貫性を強化する深度推定モジュール、拡張された受容野を持つ長期的な時間集約モジュール、そして透視技術とCRFモジュールで深度埋め込みを組み合わせた2段階オブジェクトデコーダーなど、提案された強化コンポーネントを導入します。これらの強化機能により、「近代化された」密なBEVフレームワークであるBEVNeXtが生まれます。nuScenesベンチマークでは、BEVNeXtはさまざまな設定でBEVベースおよび問い合わせベースのフレームワークを凌駕し、nuScenesテストセットで64.2のNDSという最先端の結果を達成しています。コードはこちらで入手可能：\url{https://github.com/woxihuanjiangguo/BEVNeXt}。
3DiffTection: 3D Object Detection with Geometry-aware Diffusion Features,Chenfeng Xu · Huan Ling · Sanja Fidler · Or Litany,,,,,
Commonsense Prototype for Outdoor Unsupervised 3D Object Detection,Hai Wu · Shijia Zhao · Xun Huang · Chenglu Wen · Xin Li · Cheng Wang,,http://arxiv.org/abs/2404.16493v1,http://arxiv.org/pdf/2404.16493v1,"The prevalent approaches of unsupervised 3D object detection follow cluster-based pseudo-label generation and iterative self-training processes. However, the challenge arises due to the sparsity of LiDAR scans, which leads to pseudo-labels with erroneous size and position, resulting in subpar detection performance. To tackle this problem, this paper introduces a Commonsense Prototype-based Detector, termed CPD, for unsupervised 3D object detection. CPD first constructs Commonsense Prototype (CProto) characterized by high-quality bounding box and dense points, based on commonsense intuition. Subsequently, CPD refines the low-quality pseudo-labels by leveraging the size prior from CProto. Furthermore, CPD enhances the detection accuracy of sparsely scanned objects by the geometric knowledge from CProto. CPD outperforms state-of-the-art unsupervised 3D detectors on Waymo Open Dataset (WOD), PandaSet, and KITTI datasets by a large margin. Besides, by training CPD on WOD and testing on KITTI, CPD attains 90.85% and 81.01% 3D Average Precision on easy and moderate car classes, respectively. These achievements position CPD in close proximity to fully supervised detectors, highlighting the significance of our method. The code will be available at https://github.com/hailanyi/CPD.",非監督3Dオブジェクト検知の主流のアプローチは、クラスターをベースとする疑似ラベル生成と反復的な自己学習プロセスに従います。しかし、LiDARスキャンの希薄さにより誤ったサイズや位置を持つ疑似ラベルが生成され、検知性能が低下するという課題が生じます。この問題に取り組むために、本論文では、Commonsense Prototype-based Detector（CPD）と呼ばれる非監督3Dオブジェクト検知手法を紹介します。CPDは、まず、コモンセンス的直感に基づいて、高品質のバウンディングボックスと密なポイントに特徴づけられるCommonsense Prototype（CProto）を構築します。その後、CPDはCProtoからサイズ事前情報を活用して低品質の疑似ラベルを改良します。さらに、CPDはCProtoからの幾何学的知識により、希薄にスキャンされたオブジェクトの検知精度を向上させます。CPDは、Waymo Open Dataset（WOD）、PandaSet、およびKITTIデータセットの最新の非監督3D検出器を大幅に上回る性能を発揮します。また、WODでの訓練とKITTIでのテストを行うことで、CPDは容易および中程度の車両カテゴリーでそれぞれ90.85％と81.01％の3D平均精度を達成します。これらの成果は、CPDを完全に監視された検出器に近い位置に配置し、当該手法の重要性を強調しています。コードはhttps://github.com/hailanyi/CPDで入手できます。
HINTED: Hard Instance Enhanced Detector with Mixed-Density Feature Fusion for Sparsely-Supervised 3D Object Detection,Qiming Xia · Wei Ye · Hai Wu · Shijia Zhao · Leyuan Xing · Xun Huang · Jinhao Deng · Xin Li · Chenglu Wen · Cheng Wang,,,,,
Improving Distant 3D Object Detection Using 2D Box Supervision,Zetong Yang · Zhiding Yu · Christopher Choy · Renhao Wang · Anima Anandkumar · Jose M. Alvarez,,http://arxiv.org/abs/2403.09230v1,http://arxiv.org/pdf/2403.09230v1,"Improving the detection of distant 3d objects is an important yet challenging task. For camera-based 3D perception, the annotation of 3d bounding relies heavily on LiDAR for accurate depth information. As such, the distance of annotation is often limited due to the sparsity of LiDAR points on distant objects, which hampers the capability of existing detectors for long-range scenarios. We address this challenge by considering only 2D box supervision for distant objects since they are easy to annotate. We propose LR3D, a framework that learns to recover the missing depth of distant objects. LR3D adopts an implicit projection head to learn the generation of mapping between 2D boxes and depth using the 3D supervision on close objects. This mapping allows the depth estimation of distant objects conditioned on their 2D boxes, making long-range 3D detection with 2D supervision feasible. Experiments show that without distant 3D annotations, LR3D allows camera-based methods to detect distant objects (over 200m) with comparable accuracy to full 3D supervision. Our framework is general, and could widely benefit 3D detection methods to a large extent.",遠隔の3Dオブジェクトの検出を向上させることは重要でありながらも挑戦的な課題です。カメラベースの3D知覚において、3Dバウンディングボックスのアノテーションは正確な深度情報のためにLiDARに大きく依存しています。そのため、遠隔オブジェクトに対するアノテーションの距離は、遠くのオブジェクト上のLiDARポイントの疎さにより制限されることが多く、これは長距離シナリオにおける既存の検出器の能力を妨げます。私たちは、遠隔のオブジェクトについては2Dボックスに対する監督のみを考慮することで、この課題に取り組んでいます。遠隔オブジェクトの深度の復元を学習するLR3Dというフレームワークを提案しています。LR3Dは、2Dボックスと距離との間のマッピング生成を学習するために暗黙的な射影ヘッドを採用し、近くのオブジェクト上の3D監督を使用します。このマッピングにより、2Dボックスに依存した遠隔オブジェクトの深度推定が可能となり、2D監督による長距離3D検出が実現可能となります。実験では、遠隔の3Dアノテーションがない状況でも、LR3Dにより、カメラベースの手法が遠隔のオブジェクト（200m以上）を全体の3D監督と同等の精度で検出できることが示されています。私たちのフレームワークは汎用性があり、広範囲にわたる3D検出方法に大きな利益をもたらす可能性があります。
